Answer,Hint,Date
Game of Thrones,Seven noble families fight for control of the mythical land of Westeros.  Friction between the houses leads to full-scale war.,2011
Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl. .",2016
The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies.  He sets out to find his family and encounters many other survivors along the way.,2010
Sex and the City,"Based on the bestselling book by Candace Bushnell, Sex and the City tells the story of four best friends, all single and in their late thirties, as they pursue their careers and talk about their sex lives, all while trying to survive the New York social scene.  .",1998
Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals.  But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",2016
Riverdale,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade. .",2017
The Expanse,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history. .,2015
WandaVision,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems. .,2021
Altered Carbon,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder. .",2018
The Big Bang Theory,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door. .,2007
The Flash,"After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.   Teaming up with S.",2014
The Boys,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty. .,2019
Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital. .,2005
The Mandalorian,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy.  A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",2019
Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family.  He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes.",2013
The Kardashians,"The family you know and love is here with a brand new series, giving an all-access pass into their lives.  Kris, Kourtney, Kim, Khloé, Kendall, and Kylie bring the cameras back to reveal the truth behind the headlines.",2022
Euphoria,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media. .",2019
Wednesday,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates twisted mysteries while making new friends — and foes — at Nevermore Academy. .",2022
