Answer,Hint,Date
The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.,1994
The Godfather,An offer you can't refuse.,1972
The Dark Knight,Why So Serious?,2008
The Godfather Part II,All the power on earth can't change destiny.,1974
12 Angry Men,Life Is In Their Hands -- Death Is On Their Minds!,1957
Schindler's List,"Whoever saves one life, saves the world entire.",1993
The Lord of the Rings: The Return of the King,The eye of the enemy is moving.,2003
Pulp Fiction,Girls like me don't make invitations like this to just anyone!,1994
The Lord of the Rings: The Fellowship of the Ring,The Legend Comes to Life,2001
"The Good, the Bad and the Ugly",They formed an alliance of hate to steal a fortune in dead man's gold,1966
Forrest Gump,The story of a lifetime.,1994
Fight Club,How much can you know about yourself if you've never been in a fight?,1999
The Lord of the Rings: The Two Towers,A New Power Is Rising.,2002
Inception,Your mind is the scene of the crime,2010
Star Wars: Episode V - The Empire Strikes Back,The Adventure Continues...,1980
The Matrix,Free your mind,1999
Goodfellas,"""As far back as I can remember, I've always wanted to be a gangster."" -- Henry Hill, Brooklyn, N.Y. 1955.",1990
One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?",1975
Se7en,"Long is the way, and hard, that out of hell leads up to light.",1995
Seven Samurai,Will Take Its Place With the Seven Greatest Films of All Time!,1954
It's a Wonderful Life,"Frank Capra's...""It's a Wonderful Life"".",1946
The Silence of the Lambs,"Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer.",1991
City of God,"If you run, the beast will get you. If you stay, the beast will eat you",2002
Saving Private Ryan,"In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.",1998
Interstellar,Mankind was born on Earth. It was never meant to die here.,2014
Life Is Beautiful,"An unforgettable fable that proves love, family and imagination conquer all. (Canadian one sheet)",1997
The Green Mile,Miracles do happen.,1999
Star Wars: Episode IV - A New Hope,It's Back! The Force will be with you for three weeks only. (1979 Reissue Poster),1977
Terminator 2: Judgment Day,It's nothing personal.,1991
Back to the Future,He's the only kid ever to get into trouble before he was born. [UK],1985
Spirited Away,The tunnel led Chihiro to a mysterious town.,2001
The Pianist,Music was his passion. Survival was his masterpiece.,2002
Psycho,The picture you MUST see from the beginning... Or not at all!... For no one will be seated after the start of... Alfred Hitchcock's greatest shocker Psycho.,1960
Parasite,Misplaced familyhood (Australia/New Zealand/Singapore),2019
Léon: The Professional,"If you want the job done right, hire a professional.",1994
The Lion King,See it for the first time ever in 3D (2011 3D re-release),1994
Gladiator,"Father of a murdered son, husband to a murdered wife and I shall have my vengeance in this life or the next",2000
American History X,His father taught him to hate. His friends taught him rage. His enemies gave him hope.,1998
The Departed,Lies. Betrayal. Sacrifice. How far will you take it?,2006
The Usual Suspects,The greatest trick the devil ever pulled was to convince the world he didn't exist,1995
The Prestige,A Friendship That Became a Rivalry.,2006
Whiplash,The road to greatness can take you to the edge,2014
Casablanca,Where Love Cuts as Deep as a Dagger!,1942
Grave of the Fireflies,imationDramaWar,1988
Harakiri,The World Has Never Understood Why the Japanese Prefer Death to Dishonor! This Samurai Picture Provides The Answer!!,1962
The Intouchables,Sometimes you have to reach into someone else's world to find out what's missing in your own.,2011
Modern Times,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",1936
Once Upon a Time in the West,There were three men in her life. One knew her past. One wanted her land. One wanted revenge.,1968
Rear Window,The Essential Hitchcock,1954
Cinema Paradiso,"A celebration of youth, friendship, and the everlasting magic of the movies.",1988
Alien,In space no one can hear you scream.,1979
City Lights,"HE RETURNS -And the world rocks again with laughter. (Print Ad-Daily Examiner, ((Grafton, NSW)) 6 July 1931)",1931
Apocalypse Now,The Horror. . . The Horror. . .,1979
Memento,Some memories are best forgotten,2000
Django Unchained,"Life, liberty and the pursuit of vengeance.",2012
Indiana Jones and the Raiders of the Lost Ark,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,1981
WALL·E,After 700 years of doing what he was built for - he'll discover what he's meant for.,2008
The Lives of Others,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets",2006
Sunset Blvd.,A Hollywood Story,1950
Paths of Glory,Never has the screen thrust so deeply into the guts of war!,1957
The Shining,Iconic terror from the No 1 bestselling writer.,1980
The Great Dictator,The Comedy Masterpiece!,1940
Avengers: Infinity War,An entire universe. Once and for all.,2018
Witness for the Prosecution,The most electrifying entertainment of our time!,1957
Aliens,This time there's more.,1986
Spider-Man: Into the Spider-Verse,Enter a universe where more than one wears the mask.,2018
American Beauty,... look closer,1999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The comedy classic from celebrated director STANLEY KUBRICK,1964
The Dark Knight Rises,The Legend Ends,2012
Oldboy,"15 years of imprisonment, five days of vengeance",2003
Inglourious Basterds,Once upon a time in Nazi occupied France...,2009
Amadeus,The man... The music... The madness... The murder... The motion picture...,1984
Coco,The celebration of a lifetime,2017
Toy Story,"""Oooh...3-D"" (USA 2009 re-release)",1995
Joker,Put on a happy face.,2019
Braveheart,The story of a man with a free soul...and with the courage to follow it.,1995
The Boat,"This is the story of 42 raw recruits caught up in a war they didn't understand, and the Captain who must lead them in their struggle to survive.",1981
Avengers: Endgame,Avenge the fallen.,2019
Princess Mononoke,Live on.,1997
Once Upon a Time in America,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",1984
Good Will Hunting,"Some people can never believe in themselves, until someone believes in them.",1997
Your Name.,"Experience Japan's #1 film of 2016, from visionary director Makoto Shinkai",2016
3 Idiots,Don't be Stupid. Be an I.D.I.O.T.,2009
Singin' in the Rain,Singin' Swingin' Glorious Feelin' Technicolor Musical,1952
Requiem for a Dream,From the director of [Pi],2000
Toy Story 3,The Breakout Comedy Of The Summer,2010
High and Low,142 Screenful Minutes of Thrills and Suspense!,1963
Capernaum,"""Why are you suing your parents?"" ""For giving me life.""",2018
Star Wars: Episode VI - Return of the Jedi,"Coming May 25, 1983 to your galaxy. [Second Advance poster]",1983
Eternal Sunshine of the Spotless Mind,I already forget how I used to feel about you.,2004
2001: A Space Odyssey,Let the Awe and Mystery of a Journey Unlike Any Other Begin,1968
Reservoir Dogs,Seven Total Strangers Team Up For The Perfect Crime. They Don't Know Each Other's Name. But They've Got Each Other's Color,1992
Come and See,The cruelest side of war.,1985
The Hunt,The lie is spreading.,2012
Citizen Kane,Radio's Most Dynamic Artist . . The Man At Whose Voice A Nation Trembled . . . Now the screen's most exciting NEW star ! ORSON WELLES in the picture Hollywood said he'd never make,1941
M,IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!,1931
Lawrence of Arabia,A Mighty Motion Picture Of Action And Adventure!,1962
North by Northwest,Alfred Hitchcock takes you.... North by Northwest!,1959
Vertigo,A Hitchcock thriller. You should see it from the beginning!,1958
Ikiru,One of the Great Films of Our Time!,1952
Amélie,One person can change your life forever.,2001
The Apartment,"Movie-wise, there has never been anything like ""THE APARTMENT"" love-wise, laugh-wise or otherwise-wise!",1960
A Clockwork Orange,"Being the adventures of a young man ... who couldn't resist pretty girls ... or a bit of the old ultra-violence ... went to jail, was re-conditioned ... and came out a different young man ... or was he ?",1971
Double Indemnity,"IT'S LOVE AND MURDER AT FIRST SIGHT! (print ad - Lubbock Morning Avalanche - Lindsey Theatre - Lubbock, Texas - September 1, 1944 - all caps)",1944
Full Metal Jacket,An Epic Story of the Vietnam War [Australia Theatrical],1987
Top Gun: Maverick,Feel the need... The need for speed.,2022
Scarface,He was Tony Montana. The world will remember him by another name...SCARFACE.,1983
Hamilton,An American Musical,2020
Incendies,The search began at the opening of their mother's will.,2010
To Kill a Mockingbird,The most beloved and widely read Pulitzer Prize Winner now comes vividly alive on the screen!,1962
Heat,An L.A. Redemption,1995
The Sting,"Recapture ""the STING Experience"". REMEMBER HOW GOOD THE FEEL WAS THE FIRST TIME (re-release)",1973
Up,Fly Up to Venezuela,2009
A Separation,"Ugly truth, sweet lies",2011
Metropolis,Fritz Lang's 1927 Masterpiece Now With 25 Minutes of Lost Footage (2010 re-release),1927
Taxi Driver,"On every street in every city in this country, there's a nobody who dreams of being a somebody.",1976
L.A. Confidential,"Off the record, on the QT, and very hush-hush...",1997
Die Hard,It will blow you through the back wall of the theater!,1988
Snatch,Stealin' Stones and Breakin' Bones,2000
Indiana Jones and the Last Crusade,He's back in an all new adventure. Memorial Day 1989.,1989
Bicycle Thieves,The Prize Picture They Want to Censor!,1948
Like Stars on Earth,Every Child is Special,2007
1917,Time is the enemy.,2019
Downfall,"April 1945, a nation awaits its...",2004
Dangal,You think our girls are any lesser than boys?,2016
For a Few Dollars More,The man with no name is back.,1965
Batman Begins,The Legend Begins,2005
The Kid,This is the great film he has been working on for a whole year,1921
Some Like It Hot,"Not since SCARFACE, so much action. Not since the Marx Brothers, so much comedy. Not since THE SEVEN YEAR ITCH, so much Marilyn.",1959
The Father,Nothing is as it seems,2020
