Answer,Hint,Date
Zayn,Mind Of Mine,2016
Young Thug & Various Artists,Young Stoner Life: Slime Language 2,2021
Yeat,Lyfestyle,2024
Wiz Khalifa,Blacc Hollywood,2014
Whitney Houston,I Look To You,2009
Weird Al Yankovic,Mandatory Fun,2014
Velvet Revolver,Contraband,2004
UGK,Underground Kingz,2007
Tyrese,Black Rose,2015
Twista,Kamikaze,2004
TWICE,With YOU-th (EP),2024
twenty one pilots,Blurryface,2015
Trippie Redd,A Love Letter To You 4,2019
Tony Bennett & Lady Gaga,Cheek To Cheek,2014
Tony Bennett,Duets II,2011
TOMORROW X TOGETHER,The Name Chapter: Temptation (EP),2023
Tom Petty & The Heartbreakers,Hypnotic Eye,2014
tobyMac,Eye On It,2012
The Raconteurs,Help Us Stranger,2019
The Notorious B.I.G.,Greatest Hits,2007
The Lumineers,Cleopatra,2016
The Killers,Wonderful Wonderful,2017
The Kid LAROI,F*ck Love,2021
The Isley Brothers Featuring Ronald Isley,Body Kiss,2003
The Fray,The Fray,2009
The Decemberists,The King Is Dead,2011
The Civil Wars,The Civil Wars,2013
The Chainsmokers,Memories...Do Not Open,2017
The Black Keys,Turn Blue,2014
The 1975,I Like It When You Sleep; For You Are So Beautiful Yet So Unaware Of It,2016
T-Pain,Epiphany,2007
SuperM,SuperM: The 1st Mini Album (EP),2019
Summer Walker,Still Over It,2021
Solange,A Seat At The Table,2016
Sia,1000 Forms Of Fear,2014
Scotty McCreery,Clear As Day,2011
ScHoolboy Q,Oxymoron,2014
Sara Bareilles,Kaleidoscope Heart,2010
Sam Smith,The Thrill Of It All,2017
Ruben Studdard,Soulful,2003
Robin Thicke,Blurred Lines,2013
Rob Thomas,...Something To Be,2005
Reba McEntire,Reba Duets,2007
Reba,Keep On Loving You,2009
Ray Charles,Genius Loves Company,2005
R. Kelly & Jay-Z,Unfinished Business,2004
Queens Of The Stone Age,...Like Clockwork,2013
Pusha T,It's Almost Dry,2022
Pretty Ricky,Late Night Special,2007
Polo G,Hall Of Fame,2021
Playboi Carti,Whole Lotta Red,2021
Paul Wall,The Peoples Champ,2005
Paul McCartney,Egypt Station,2018
Paramore,Paramore,2013
Nine Inch Nails,With Teeth,2005
Nickelback,All The Right Reasons,2005
Niall Horan,Flicker,2017
NewJeans,2nd EP 'Get Up',2023
Nelly Furtado,Loose,2006
Neil Diamond,Home Before Dark,2008
Mystikal,Let's Get Ready,2000
Musiq Soulchild,Luvanmusiq,2007
Musiq,Juslisen (Just Listen),2002
Muse,Drones,2015
Monica,After The Storm,2003
Modest Mouse,We Were Dead Before The Ship Even Sank,2007
Miranda Lambert,Platinum,2014
Meghan Trainor,Title,2015
matchbox twenty,North,2012
Marilyn Manson,The Golden Age Of Grotesque,2003
Mac Miller,Blue Slide Park,2011
Luther Vandross,Dance With My Father,2003
Lupe Fiasco,Lasers,2011
Lorde,Melodrama,2017
LL Cool J,G.O.A.T. Featuring James T. Smith: The Greatest Of All Time,2000
Lil Baby & Lil Durk,The Voice Of The Heroes,2021
LeToya,LeToya,2006
Leona Lewis,Spirit,2008
Led Zeppelin,How The West Was Won,2003
Lecrae,Anomaly,2014
LCD Soundsystem,American Dream,2017
Kodak Black,Dying To Live,2018
Kings Of Leon,Walls,2016
Kid Rock,Rock N Roll Jesus,2007
Khalid,Free Spirit,2019
Kesha,Rainbow,2017
Ke$ha,Animal,2010
Karol G,Manana Sera Bonito,2023
Kane Brown,Experiment,2018
Juvenile,Reality Check,2006
Johnny Cash,American V: A Hundred Highways,2006
Jimmy Buffett,License To Chill,2004
Jelly Roll,Beautifully Broken,2024
Jeezy,Trap Or Die 3,2016
Jay-Z/Linkin Park,MTV Ultimate Mash-Ups Presents: Collision Course,2004
James Taylor,Before This World,2015
Jaheim,Ghetto Classics,2006
Jadakiss,Kiss Of Death,2004
JACKBOYS,JACKBOYS,2020
India.Arie,Testimony: Vol. 1; Life & Relationship (Bonus Track Edition),2006
Incubus,Light Grenades,2006
Imagine Dragons,Smoke + Mirrors,2015
Il Divo,Ancora,2006
Hozier,Wasteland; Baby!,2019
Halsey,hopeless fountain kingdom,2017
Gwen Stefani,This Is What The Truth Feels Like,2016
Gretchen Wilson,All Jacked Up,2005
Gary Allan,Set You Free,2013
Frank Ocean,Blonde,2016
Florida Georgia Line,Anything Goes,2014
Florence + The Machine,How Big How Blue How Beautiful,2015
Fetty Wap,Fetty Wap,2015
Fabolous,Loso's Way (Soundtrack),2009
Eagles,Long Road Out Of Eden,2007
Drake & Future,What A Time To Be Alive,2015
Drake & 21 Savage,Her Loss,2022
Diddy,Press Play,2006
Demi Lovato,Here We Go Again,2009
Death Cab For Cutie,Narrow Stairs,2008
DAY26,DAY26,2008
David Bowie,Blackstar,2016
Common,Finding Forever,2007
Colbie Caillat,Breakthrough,2009
Ciara,Ciara: The Evolution,2006
Christina Aguilera,Back To Basics,2006
Chrisette Michele,Epiphany,2009
Chris Tomlin,Burning Lights,2013
Cardi B,Invasion Of Privacy,2018
Camila Cabello,Camila,2018
Cake,Showroom Of Compassion,2011
Busta Rhymes,The Big Bang,2006
Bryson Tiller,True To Self,2017
Bruno Mars,Unorthodox Jukebox,2013
BrockHampton,iridescence,2018
Breaking Benjamin,Dark Before Dawn,2015
Brand New,Science Fiction,2017
BLACKPINK,Born Pink,2022
Big Tymers,Hood Rich,2002
Beastie Boys,To The 5 Boroughs,2004
Barry Manilow,The Greatest Songs Of The Fifties,2006
Bad Meets Evil,Hell: The Sequel (EP),2011
B.o.B,B.o.B Presents: The Adventures Of Bobby Ray,2010
Audioslave,Out Of Exile,2005
Andrea Bocelli,Si,2018
Amos Lee,Mission Bell,2011
Alanis Morissette,Under Rug Swept,2002
Alabama Shakes,Sound & Color,2015
AFI,Decemberunderground,2006
Adam Lambert,Trespassing,2012
Aaliyah,Aaliyah,2001
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,2016
21 Savage & Metro Boomin,Savage Mode II,2020
2 Chainz,Based On A T.R.U. Story,2012
